dt,val
2018-04-01,0.04967519279809569
2018-04-02,0.8092513304434313
2018-04-03,0.986864498937398
2018-04-04,0.4024884353155925
2018-04-05,-0.36585111669106113
2018-04-06,-1.004940891539179
2018-04-07,-0.6724648328172075
2018-04-08,0.07663053130925604
2018-04-09,0.7700464645130082
2018-04-10,0.9236068671664853
2018-04-11,0.39836341093258987
2018-04-12,-0.42103955365972845
2018-04-13,-0.9872625061049398
2018-04-14,-0.7992086124379099
2018-04-15,-0.04758092836324735
2018-04-16,0.7795800962275815
2018-04-17,0.9356826887089723
2018-04-18,0.3504866422881547
2018-04-19,-0.45289506513193645
2018-04-20,-0.9289780817287845
2018-04-21,-0.8105988305984474
2018-04-22,0.030398216111247753
2018-04-23,0.7009373470535647
2018-04-24,0.9721498139055975
2018-04-25,0.4598540993147285
2018-04-26,-0.41882607100921876
2018-04-27,-0.9696441024743772
2018-04-28,-0.8138667828833012
2018-04-29,-0.04248521730169039
2018-04-30,0.7306250429377728
