dt,val
2018-05-01,0.9808102420368292
2018-05-02,0.38651000840832184
2018-05-03,-0.4584116113025813
2018-05-04,-0.987732521791735
2018-05-05,-0.6896383822064267
2018-05-06,-0.032597495084777335
2018-05-07,0.7936008110822743
2018-05-08,0.9788259546600102
2018-05-09,0.3857909074110622
2018-05-10,-0.4374491434237339
2018-05-11,-0.9027003692606568
2018-05-12,-0.759256279814072
2018-05-13,0.0020616460996494487
2018-05-14,0.7607066408510457
2018-05-15,0.8722655511048005
2018-05-16,0.4904505997882584
2018-05-17,-0.5069157426638013
2018-05-18,-0.9379305366379558
2018-05-19,-0.6863763040071631
2018-05-20,-0.07219465804859487
2018-05-21,0.8169206992367578
2018-05-22,0.9618180377117014
2018-05-23,0.35527653116028185
2018-05-24,-0.5096171218066412
2018-05-25,-1.0550047208605506
2018-05-26,-0.808376808576557
2018-05-27,-0.07308777924979304
2018-05-28,0.816227321116818
2018-05-29,1.07993335920811
2018-05-30,0.3695322153158167
2018-05-31,-0.3944967967438009
