dt,val
2018-02-01,-0.44863731326717066
2018-02-02,-0.9301716291295723
2018-02-03,-0.7379248080913763
2018-02-04,0.04107905408187314
2018-02-05,0.8162634951730335
2018-02-06,1.0026237948587033
2018-02-07,0.43078815358872324
2018-02-08,-0.44918187230455275
2018-02-09,-0.9939514622324425
2018-02-10,-0.8165668314140563
2018-02-11,-0.01039586390098141
2018-02-12,0.7185616648896157
2018-02-13,1.0833757104487511
2018-02-14,0.4942818390328091
2018-02-15,-0.49003916827772415
2018-02-16,-0.9950721539467771
2018-02-17,-0.8051642501491918
2018-02-18,0.03899825591681418
2018-02-19,0.7776630291444372
2018-02-20,0.9875938378815617
2018-02-21,0.4324564013501182
2018-02-22,-0.43602726198212227
2018-02-23,-0.9064977979811003
2018-02-24,-0.7931200317509944
2018-02-25,0.07582353022147503
2018-02-26,0.7043938422565175
2018-02-27,1.0041585996636275
2018-02-28,0.4400764513097907
