val,dt_fmt
0.9687480366075372,2018-05-10 07 PM
0.866721850758033,2018-05-10 08 PM
0.8509063465996739,2018-05-10 09 PM
0.5954539081842991,2018-05-10 10 PM
0.2521101475243504,2018-05-10 11 PM
0.0626907460534967,2018-05-11 12 AM
-0.2876937833011064,2018-05-11 01 AM
-0.6025388264420863,2018-05-11 02 AM
-0.7642607113226961,2018-05-11 03 AM
-0.9071498419185013,2018-05-11 04 AM
-0.9589209459181256,2018-05-11 05 AM
-0.9166245035901492,2018-05-11 06 AM
-0.7813211116980683,2018-05-11 07 AM
-0.5908808378213095,2018-05-11 08 AM
-0.32431512756194375,2018-05-11 09 AM
-0.019023550050619623,2018-05-11 10 AM
0.2742816454289196,2018-05-11 11 AM
0.5773893883914928,2018-05-11 12 PM
0.7457471767965339,2018-05-11 01 PM
1.0595043145620786,2018-05-11 02 PM
1.0603980999152496,2018-05-11 03 PM
0.8949010871349863,2018-05-11 04 PM
0.7888727526099929,2018-05-11 05 PM
0.5644524846113126,2018-05-11 06 PM
