val,dt_fmt
0.28099321204733674,2018-05-09 19:00:00
0.5762763778183091,2018-05-09 20:00:00
0.8869524100824037,2018-05-09 21:00:00
0.9545819358663823,2018-05-09 22:00:00
1.0064643867580474,2018-05-09 23:00:00
1.0368097656393176,2018-05-10 00:00:00
0.8320628046744075,2018-05-10 01:00:00
0.5245321905621465,2018-05-10 02:00:00
0.2746743517802712,2018-05-10 03:00:00
-0.022283098504997784,2018-05-10 04:00:00
-0.24781290450297383,2018-05-10 05:00:00
-0.5697945609396048,2018-05-10 06:00:00
-0.7889784218452447,2018-05-10 07:00:00
-0.9455223804978975,2018-05-10 08:00:00
-1.0277920567377037,2018-05-10 09:00:00
-0.8617108594549997,2018-05-10 10:00:00
-0.7841244704634855,2018-05-10 11:00:00
-0.6861161101239552,2018-05-10 12:00:00
-0.2739491992967633,2018-05-10 13:00:00
-0.02363957038639695,2018-05-10 14:00:00
0.2556258090756049,2018-05-10 15:00:00
0.5768865065595574,2018-05-10 16:00:00
0.7577167719595852,2018-05-10 17:00:00
0.9146119548305965,2018-05-10 18:00:00
